ಅಂಕ	ಅ ಂ ಕ |
ಗ್ರಹ	ಗ ್ ರ ಹ |
ಗ್ರಹಮ್	ಗ ್ ರ ಹ ಮ ್ |
ಗ್ರಾಮ	ಗ ್ ರ ಾ ಮ |
ಗ್ರಾಮಾಂತರ	ಗ ್ ರ ಾ ಮ ಾ ಂ ತ ರ |
ಗ್ರಾಮೀಣ	ಗ ್ ರ ಾ ಮ ೀ ಣ |
ಗ್ರಾಹಕ	ಗ ್ ರ ಾ ಹ ಕ |
ಗ್ರೀಷ್ಮ	ಗ ್ ರ ೀ ಷ ್ ಮ |
ಗ್ರೇಗ್	ಗ ್ ರ ೇ ಗ ್ |
ಗ್ರೇಟ್	ಗ ್ ರ ೇ ಟ ್ |
ಗ್ವಾಲಿಯರ್	ಗ ್ ವ ಾ ಲ ಿ ಯ ರ ್ |
ಘಟಕ	ಘ ಟ ಕ |
ಘಟನೆ	ಘ ಟ ನ ೆ |
ಘಟಮ್	ಘ ಟ ಮ ್ |
ಘಟಾಶಿಲಾ	ಘ ಟ ಾ ಶ ಿ ಲ ಾ |
ಘನ	ಘ ನ |
ಘಾಟು	ಘ ಾ ಟ ು |
ಘೋರ	ಘ ೋ ರ |
ಘೋಷಣೆ	ಘ ೋ ಷ ಣ ೆ |
ಚಂಢೀಗಢ	ಚ ಂ ಢ ೀ ಗ ಢ |
ಚಂದ್ರ	ಚ ಂ ದ ್ ರ |
ಚಂದ್ರಪೌಲ್	ಚ ಂ ದ ್ ರ ಪ ೌ ಲ ್ |
ಚಂದ್ರಶೇಖರ್	ಚ ಂ ದ ್ ರ ಶ ೇ ಖ ರ ್ |
ಚಂದ್ರು	ಚ ಂ ದ ್ ರ ು |
ಚಂಪಾವತ್	ಚ ಂ ಪ ಾ ವ ತ ್ |
ಚಕ್ರವರ್ತಿ	ಚ ಕ ್ ರ ವ ರ ್ ತ ಿ |
ಚಟಗಳೆಲ್ಲವನ್ನೂ	ಚ ಟ ಗ ಳ ೆ ಲ ್ ಲ ವ ನ ್ ನ ೂ |
ಚಟುವಟಿಕೆ	ಚ ಟ ು ವ ಟ ಿ ಕ ೆ |
ಚತ್ರಾ	ಚ ತ ್ ರ ಾ |
ಚದುರಂಗ	ಚ ದ ು ರ ಂ ಗ |
ಚನ್ನಗಿರಿ	ಚ ನ ್ ನ ಗ ಿ ರ ಿ |
ಚನ್ನಪಟ್ಟಣ	ಚ ನ ್ ನ ಪ ಟ ್ ಟ ಣ |
ಚನ್ನಮ್ಮ	ಚ ನ ್ ನ ಮ ್ ಮ |
ಚನ್ನರಾಯಪಟ್ಟಣ	ಚ ನ ್ ನ ರ ಾ ಯ ಪ ಟ ್ ಟ ಣ |
ಚನ್ಲಾಂಗ್	ಚ ನ ್ ಲ ಾ ಂ ಗ ್ |
ಚಪಾತಿ	ಚ ಪ ಾ ತ ಿ |
ಚಮಿಂದಾವಾಸ್	ಚ ಮ ಿ ಂ ದ ಾ ವ ಾ ಸ ್ |
ಚರಣ್	ಚ ರ ಣ ್ |
ಚರದ್	ಚ ರ ದ ್ |
ಚರಿತ್ರೆ	ಚ ರ ಿ ತ ್ ರ ೆ |
ಚರ್	ಚ ರ ್ |
ಚರ್ಚೆ	ಚ ರ ್ ಚ ೆ |
ಚರ್ಮ	ಚ ರ ್ ಮ |
ಚಳಿ	ಚ ಳ ಿ |
ಚಳಿಗಾಲ	ಚ ಳ ಿ ಗ ಾ ಲ |
ಚಳಿಗಾಲದಲ್ಲಿ	ಚ ಳ ಿ ಗ ಾ ಲ ದ ಲ ್ ಲ ಿ |
ಚಳುವಳಿ	ಚ ಳ ು ವ ಳ ಿ |
ಚಳ್ಳಕೆರೆ	ಚ ಳ ್ ಳ ಕ ೆ ರ ೆ |
ಚಾಂದಿನಿ	ಚ ಾ ಂ ದ ಿ ನ ಿ |
ಚಾಕು	ಚ ಾ ಕ ು |
ಚಾಕ್ರಿ	ಚ ಾ ಕ ್ ರ ಿ |
ಚಾಪಲ್	ಚ ಾ ಪ ಲ ್ |
ಚಾಪೆ	ಚ ಾ ಪ ೆ |
ಚಾಪೆಗಳು	ಚ ಾ ಪ ೆ ಗ ಳ ು |
ಚಾಪೆಲ್	ಚ ಾ ಪ ೆ ಲ ್ |
ಚಾಪ್ಲಿನ್	ಚ ಾ ಪ ್ ಲ ಿ ನ ್ |
ಚಾಮರಾಜನಗರ	ಚ ಾ ಮ ರ ಾ ಜ ನ ಗ ರ |
ಚಾರ್ಲಿ	ಚ ಾ ರ ್ ಲ ಿ |
ಚಿಂಚೋಲಿ	ಚ ಿ ಂ ಚ ೋ ಲ ಿ |
ಚಿಂತನೆ	ಚ ಿ ಂ ತ ನ ೆ |
ಚಿಂತಾಮಣಿ	ಚ ಿ ಂ ತ ಾ ಮ ಣ ಿ |
ಚಿಂತೆ	ಚ ಿ ಂ ತ ೆ |
ಚಿಕಿತ್ಸೆ	ಚ ಿ ಕ ಿ ತ ್ ಸ ೆ |
ಚಿಕ್ಕ	ಚ ಿ ಕ ್ ಕ |
ಚಿಕ್ಕದೇವರಾಯ	ಚ ಿ ಕ ್ ಕ ದ ೇ ವ ರ ಾ ಯ |
ಚಿಕ್ಕನಾಯಕನಹಳ್ಳಿ	ಚ ಿ ಕ ್ ಕ ನ ಾ ಯ ಕ ನ ಹ ಳ ್ ಳ ಿ |
ಚಿಕ್ಕಪ್ಪ	ಚ ಿ ಕ ್ ಕ ಪ ್ ಪ |
ಚಿಕ್ಕಬಳ್ಳಾಪುರ	ಚ ಿ ಕ ್ ಕ ಬ ಳ ್ ಳ ಾ ಪ ು ರ |
ಚಿಕ್ಕಮಂಗಳೂರು	ಚ ಿ ಕ ್ ಕ ಮ ಂ ಗ ಳ ೂ ರ ು |
ಚಿಕ್ಕಮ್ಮ	ಚ ಿ ಕ ್ ಕ ಮ ್ ಮ |
ಚಿಟಪುರ	ಚ ಿ ಟ ಪ ು ರ |
ಚಿತ್ತಾಲ	ಚ ಿ ತ ್ ತ ಾ ಲ |
ಚಿತ್ರ	ಚ ಿ ತ ್ ರ |
ಚಿತ್ರಣ	ಚ ಿ ತ ್ ರ ಣ |
ಚಿತ್ರಿಸು	ಚ ಿ ತ ್ ರ ಿ ಸ ು |
ಚಿನ್ನ	ಚ ಿ ನ ್ ನ |
ಚಿಪ್	ಚ ಿ ಪ ್ |
ಚಿರಂಜೀವಿ	ಚ ಿ ರ ಂ ಜ ೀ ವ ಿ |
ಚಿಶ್ತಿ	ಚ ಿ ಶ ್ ತ ಿ |
ಚೀಲ	ಚ ೀ ಲ |
ಚುನಾರ್	ಚ ು ನ ಾ ರ ್ |
ಚುನಾವಣೆ	ಚ ು ನ ಾ ವ ಣ ೆ |
ಚೂಡಚಂದ್	ಚ ೂ ಡ ಚ ಂ ದ ್ |
ಚೂರ್	ಚ ೂ ರ ್ |
ಚೆಂಡು	ಚ ೆ ಂ ಡ ು |
ಚೆನ್ನಾಗಿ	ಚ ೆ ನ ್ ನ ಾ ಗ ಿ |
ಚೆನ್ನಾಗಿರುತ್ತದೆ	ಚ ೆ ನ ್ ನ ಾ ಗ ಿ ರ ು ತ ್ ತ ದ ೆ |
ಚೆನ್ನೈ	ಚ ೆ ನ ್ ನ ೈ |
ಚೇತನ್	ಚ ೇ ತ ನ ್ |
ಚೈತ್ರ	ಚ ೈ ತ ್ ರ |
ಚೊಪನ್	ಚ ೊ ಪ ನ ್ |
ಚೋಪ್ರ	ಚ ೋ ಪ ್ ರ |
ಚೋಪ್ರಾ	ಚ ೋ ಪ ್ ರ ಾ |
ಚೌಡಯ್ಯ	ಚ ೌ ಡ ಯ ್ ಯ |
ಚೌಧರಿ	ಚ ೌ ಧ ರ ಿ |
ಛಂಕಿ	ಛ ಂ ಕ ಿ |
ಛತ್ರಿ	ಛ ತ ್ ರ ಿ |
ಛಾಯ	ಛ ಾ ಯ |
ಛಾಯಾ	ಛ ಾ ಯ ಾ |
ಛಿಂದ್ವಾಡ	ಛ ಿ ಂ ದ ್ ವ ಾ ಡ |
ಛಿನ್ನ	ಛ ಿ ನ ್ ನ |
ಜಂಗ್	ಜ ಂ ಗ ್ |
ಜಂತಿ	ಜ ಂ ತ ಿ |
ಜಂಶೆಡ್	ಜ ಂ ಶ ೆ ಡ ್ |
ಜಗತ್ತು	ಜ ಗ ತ ್ ತ ು |
ಜಗದೀಶ್	ಜ ಗ ದ ೀ ಶ ್ |
ಜಗಮೋಹನ್	ಜ ಗ ಮ ೋ ಹ ನ ್ |
ಜಗಲೂರು	ಜ ಗ ಲ ೂ ರ ು |
ಜಗಳ	ಜ ಗ ಳ |
ಜಗಳಮಾಡುತ್ತಾರೆ	ಜ ಗ ಳ ಮ ಾ ಡ ು ತ ್ ತ ಾ ರ ೆ |
ಜಗಳವಾಡಿದರು	ಜ ಗ ಳ ವ ಾ ಡ ಿ ದ ರ ು |
ಜಗಳವಾಡುತ್ತಾಳೆ	ಜ ಗ ಳ ವ ಾ ಡ ು ತ ್ ತ ಾ ಳ ೆ |
ಜಗಳವಾದರೆ	ಜ ಗ ಳ ವ ಾ ದ ರ ೆ |
ಜಗ್ಗೇಶ್	ಜ ಗ ್ ಗ ೇ ಶ ್ |
ಜಡೆ	ಜ ಡ ೆ |
ಜಡೇಜಾ	ಜ ಡ ೇ ಜ ಾ |
ಜತೆ	ಜ ತ ೆ |
ಜತ್ತಿ	ಜ ತ ್ ತ ಿ |
ಜನ	ಜ ನ |
ಜನತಾದಳ	ಜ ನ ತ ಾ ದ ಳ |
ಜನತೆ	ಜ ನ ತ ೆ |
ಜನಪದ	ಜ ನ ಪ ದ |
ಜನಪ್ರಿಯ	ಜ ನ ಪ ್ ರ ಿ ಯ |
ಜನವರಿ	ಜ ನ ವ ರ ಿ |
ಜನಸಾಮಾನ್ಯ	ಜ ನ ಸ ಾ ಮ ಾ ನ ್ ಯ |
ಜನಾಂಗ	ಜ ನ ಾ ಂ ಗ |
ಜನ್ನ	ಜ ನ ್ ನ |
ಜನ್ಮ	ಜ ನ ್ ಮ |
ಜಬಲ್	ಜ ಬ ಲ ್ |
ಜಮಖಂಡಿ	ಜ ಮ ಖ ಂ ಡ ಿ |
ಜಮ್ಮು	ಜ ಮ ್ ಮ ು |
ಜಯ	ಜ ಯ |
ಜಯಚಾಮರಾಜೇಂದ್ರ	ಜ ಯ ಚ ಾ ಮ ರ ಾ ಜ ೇ ಂ ದ ್ ರ |
ಜಯದೇವಿತಾಯಿ	ಜ ಯ ದ ೇ ವ ಿ ತ ಾ ಯ ಿ |
ಜಯಮಾಲ	ಜ ಯ ಮ ಾ ಲ |
ಜಯಸೂರ್ಯ	ಜ ಯ ಸ ೂ ರ ್ ಯ |
ಜಯಾ	ಜ ಯ ಾ |
ಜಯ್	ಜ ಯ ್ |
ಜಲಂಧರ್	ಜ ಲ ಂ ಧ ರ ್ |
ಜಲ್	ಜ ಲ ್ |
ಜವಹರಲಾಲ್	ಜ ವ ಹ ರ ಲ ಾ ಲ ್ |
ಜವಾಬ್ದಾರಿ	ಜ ವ ಾ ಬ ್ ದ ಾ ರ ಿ |
ಜಶ್	ಜ ಶ ್ |
ಜಹೀರ	ಜ ಹ ೀ ರ |
ಜಾಕೀಚಾನ್	ಜ ಾ ಕ ೀ ಚ ಾ ನ ್ |
ಜಾಕೀಶ್ರಾಫ್	ಜ ಾ ಕ ೀ ಶ ್ ರ ಾ ಫ ್ |
ಜಾಕ್ಕರ್	ಜ ಾ ಕ ್ ಕ ರ ್ |
ಜಾಕ್ಸನ್	ಜ ಾ ಕ ್ ಸ ನ ್ |
ಜಾಖಿರ್	ಜ ಾ ಖ ಿ ರ ್ |
ಜಾಗ	ಜ ಾ ಗ |
ಜಾಣ	ಜ ಾ ಣ |
ಜಾತಿ	ಜ ಾ ತ ಿ |
ಜಾತಿಗೆ	ಜ ಾ ತ ಿ ಗ ೆ |
ಜಾತ್ಯತೀತ	ಜ ಾ ತ ್ ಯ ತ ೀ ತ |
ಜಾತ್ರೆ	ಜ ಾ ತ ್ ರ ೆ |
ಜಾತ್ರೆಗೆ	ಜ ಾ ತ ್ ರ ೆ ಗ ೆ |
ಜಾನಪದ	ಜ ಾ ನ ಪ ದ |
ಜಾನೀ	ಜ ಾ ನ ೀ |
ಜಾಫರ್	ಜ ಾ ಫ ರ ್ |
ಜಾಫ್ರಿ	ಜ ಾ ಫ ್ ರ ಿ |
ಜಾಮ್	ಜ ಾ ಮ ್ |
ಜಾರಿ	ಜ ಾ ರ ಿ |
ಜಾರ್ಜ್	ಜ ಾ ರ ್ ಜ ್ |
ಜಾವಗಲ್	ಜ ಾ ವ ಗ ಲ ್ |
ಜಾವಿದ್	ಜ ಾ ವ ಿ ದ ್ |
ಜಿ	ಜ ಿ |
ಜಿಂಕೆ	ಜ ಿ ಂ ಕ ೆ |
ಜಿತೇಂದ್ರ	ಜ ಿ ತ ೇ ಂ ದ ್ ರ |
ಜಿನ್ನಾ	ಜ ಿ ನ ್ ನ ಾ |
ಜಿಯಾಉಲ್	ಜ ಿ ಯ ಾ ಉ ಲ ್ |
ಜಿಲ್ಲೆ	ಜ ಿ ಲ ್ ಲ ೆ |
ಜೀವ	ಜ ೀ ವ |
ಜೀವಂತ	ಜ ೀ ವ ಂ ತ |
ಜೀವನ	ಜ ೀ ವ ನ |
ಜೀವಿ	ಜ ೀ ವ ಿ |
ಜುಲೈ	ಜ ು ಲ ೈ |
ಜುಲ್ಫೀಕರ್	ಜ ು ಲ ್ ಫ ೀ ಕ ರ ್ |
ಜೂನ್	ಜ ೂ ನ ್ |
ಜೆ	ಜ ೆ |
ಜೇಕ್	ಜ ೇ ಕ ್ |
ಜೇವರ್ಗಿ	ಜ ೇ ವ ರ ್ ಗ ಿ |
ಜೇಷ್ಠ	ಜ ೇ ಷ ್ ಠ |
ಜೈನ	ಜ ೈ ನ |
ಜೈಲ್ಸಿಂಗ್	ಜ ೈ ಲ ್ ಸ ಿ ಂ ಗ ್ |
ಜೈಸಲ್	ಜ ೈ ಸ ಲ ್ |
ಜೊತೆ	ಜ ೊ ತ ೆ |
ಜೊತೆಗೆ	ಜ ೊ ತ ೆ ಗ ೆ |
ಜೊವಾಯ್	ಜ ೊ ವ ಾ ಯ ್ |
ಜೋಡಿ	ಜ ೋ ಡ ಿ |
ಜೋಧ್	ಜ ೋ ಧ ್ |
ಜೋಷಿ	ಜ ೋ ಷ ಿ |
ಜ್ಞಾನ	ಜ ್ ಞ ಾ ನ |
ಜ್ಞಾನಿ	ಜ ್ ಞ ಾ ನ ಿ |
ಜ್ಞಾನೇಂದ್ರ್	ಜ ್ ಞ ಾ ನ ೇ ಂ ದ ್ ರ ್ |
ಜ್ಯೋತಿ	ಜ ್ ಯ ೋ ತ ಿ |
ಜ್ವರ	ಜ ್ ವ ರ |
ಝರಿ	ಝ ರ ಿ |
ಝಾಡಿಸು	ಝ ಾ ಡ ಿ ಸ ು |
ಝಾನ್ಸಿ	ಝ ಾ ನ ್ ಸ ಿ |
ಝಾರಿಯಾ	ಝ ಾ ರ ಿ ಯ ಾ |
ಝಾರ್	ಝ ಾ ರ ್ |
ಝುನು	ಝ ು ನ ು |
ಝುನ್	ಝ ು ನ ್ |
ಟಂಡನ್	ಟ ಂ ಡ ನ ್ |
ಟಗರು	ಟ ಗ ರ ು |
ಟಪಾಲು	ಟ ಪ ಾ ಲ ು |
ಟಾಟಾನಗರ	ಟ ಾ ಟ ಾ ನ ಗ ರ |
ಟಿ	ಟ ಿ |
ಟಿಟ್	ಟ ಿ ಟ ್ |
ಟಿಪ್ಪು	ಟ ಿ ಪ ್ ಪ ು |
ಟೀಕಮ್	ಟ ೀ ಕ ಮ ್ |
ಟೀಕೆ	ಟ ೀ ಕ ೆ |
ಟೀನು	ಟ ೀ ನ ು |
ಟೊಕ್	ಟ ೊ ಕ ್ |
ಟೋನಿ	ಟ ೋ ನ ಿ |
ಟೋಪಿ	ಟ ೋ ಪ ಿ |
ಟ್ಯುಟಿಕಾರನ್	ಟ ್ ಯ ು ಟ ಿ ಕ ಾ ರ ನ ್ |
ಠಕ್ಕ	ಠ ಕ ್ ಕ |
ಠಾಣೆ	ಠ ಾ ಣ ೆ |
ಠಾನೆ	ಠ ಾ ನ ೆ |
ಠೀವಿ	ಠ ೀ ವ ಿ |
ಡಬ್ಬ	ಡ ಬ ್ ಬ |
ಡಬ್ಬದಲ್ಲಿ	ಡ ಬ ್ ಬ ದ ಲ ್ ಲ ಿ |
ಡಬ್ಲ್ಯು	ಡ ಬ ್ ಲ ್ ಯ ು |
ಡಬ್ಲ್ಯೂ	ಡ ಬ ್ ಲ ್ ಯ ೂ |
ಡಾ	ಡ ಾ |
ಡಾನ್	ಡ ಾ ನ ್ |
ಡಾಬನ್ನು	ಡ ಾ ಬ ನ ್ ನ ು |
ಡಾಬು	ಡ ಾ ಬ ು |
ಡಾರ್ಜಿಲಿಂಗ್	ಡ ಾ ರ ್ ಜ ಿ ಲ ಿ ಂ ಗ ್ |
ಡಿ	ಡ ಿ |
ಡಿಯೋಲ್	ಡ ಿ ಯ ೋ ಲ ್ |
ಡಿವಿಜಿ	ಡ ಿ ವ ಿ ಜ ಿ |
ಡಿಸೆಂಬರ್	ಡ ಿ ಸ ೆ ಂ ಬ ರ ್ |
ಡುಬ್ಬ	ಡ ು ಬ ್ ಬ |
ಡೆ	ಡ ೆ |
ಡೇವಿಡ್	ಡ ೇ ವ ಿ ಡ ್ |
ಡೊನಾಲ್ಡ್	ಡ ೊ ನ ಾ ಲ ್ ಡ ್ |
ಡೋಲು	ಡ ೋ ಲ ು |
ಢಕ್ಕೆ	ಢ ಕ ್ ಕ ೆ |
ಢಮರುಗ	ಢ ಮ ರ ು ಗ |
ತಂಗಿ	ತ ಂ ಗ ಿ |
ತಂಜಾವೂರ್	ತ ಂ ಜ ಾ ವ ೂ ರ ್ |
ತಂಡ	ತ ಂ ಡ |
ತಂತ್ರ	ತ ಂ ತ ್ ರ |
ತಂತ್ರಜ್ಞಾನ	ತ ಂ ತ ್ ರ ಜ ್ ಞ ಾ ನ |
ತಂದ	ತ ಂ ದ |
ತಂದೆ	ತ ಂ ದ ೆ |
ತಂದ್ದದು	ತ ಂ ದ ್ ದ ದ ು |
ತಂಪು	ತ ಂ ಪ ು |
ತಕ್ಕ	ತ ಕ ್ ಕ |
ತಕ್ಷಣ	ತ ಕ ್ ಷ ಣ |
ತಗೊಂಡು	ತ ಗ ೊ ಂ ಡ ು |
ತಗೊಳ್ಳಿ	ತ ಗ ೊ ಳ ್ ಳ ಿ |
ತಗೋ	ತ ಗ ೋ |
ತಗೋಬೇಡ	ತ ಗ ೋ ಬ ೇ ಡ |
ತಜ್ಞ	ತ ಜ ್ ಞ |
ತಟ್ಟೆ	ತ ಟ ್ ಟ ೆ |
ತಟ್ಟೆಯಲ್ಲಿ	ತ ಟ ್ ಟ ೆ ಯ ಲ ್ ಲ ಿ |
ತಡೆ	ತ ಡ ೆ |
ತಣ್ಣನೆ	ತ ಣ ್ ಣ ನ ೆ |
ತತ್ತ್ವ	ತ ತ ್ ತ ್ ವ |
ತನಕ	ತ ನ ಕ |
ತನಗೆ	ತ ನ ಗ ೆ |
ತನಿಖೆ	ತ ನ ಿ ಖ ೆ |
ತನ್ನ	ತ ನ ್ ನ |
ತಪ್ಪಲೆ	ತ ಪ ್ ಪ ಲ ೆ |
ತಪ್ಪು	ತ ಪ ್ ಪ ು |
ತಮ್ಮ	ತ ಮ ್ ಮ |
ತಯಾರಿಸು	ತ ಯ ಾ ರ ಿ ಸ ು |
ತರಕಾರಿ	ತ ರ ಕ ಾ ರ ಿ |
ತರಗತಿ	ತ ರ ಗ ತ ಿ |
ತರಬೇತಿ	ತ ರ ಬ ೇ ತ ಿ |
ತರೀಕೆರೆ	ತ ರ ೀ ಕ ೆ ರ ೆ |
ತರು	ತ ರ ು |
ತಲ	ತ ಲ |
ತಲಕಾಡು	ತ ಲ ಕ ಾ ಡ ು |
ತಲಾ	ತ ಲ ಾ |
ತಲುಪು	ತ ಲ ು ಪ ು |
ತಲೆ	ತ ಲ ೆ |
ತಲೆಬುರುಡೆ	ತ ಲ ೆ ಬ ು ರ ು ಡ ೆ |
ತಲೆಯಿಂದ	ತ ಲ ೆ ಯ ಿ ಂ ದ |
ತಾ	ತ ಾ |
ತಾಂತ್ರಿಕ	ತ ಾ ಂ ತ ್ ರ ಿ ಕ |
ತಾಂಬ್ರಮ್	ತ ಾ ಂ ಬ ್ ರ ಮ ್ |
ತಾಟ್ಚರ್	ತ ಾ ಟ ್ ಚ ರ ್ |
ತಾತ್ವಿಕ	ತ ಾ ತ ್ ವ ಿ ಕ |
ತಾನು	ತ ಾ ನ ು |
ತಾಪಾ	ತ ಾ ಪ ಾ |
ತಾಮ್ರ	ತ ಾ ಮ ್ ರ |
ತಾಯಿ	ತ ಾ ಯ ಿ |
ತಾರ	ತ ಾ ರ |
ತಾರೆ	ತ ಾ ರ ೆ |
ತಾಲ್ಲೂಕು	ತ ಾ ಲ ್ ಲ ೂ ಕ ು |
ತಾಳ್ಮೆ	ತ ಾ ಳ ್ ಮ ೆ |
ತಾವು	ತ ಾ ವ ು |
ತಿಂಗಳ	ತ ಿ ಂ ಗ ಳ |
ತಿಂಗಳು	ತ ಿ ಂ ಗ ಳ ು |
ತಿಂದ	ತ ಿ ಂ ದ |
ತಿನ್	ತ ಿ ನ ್ |
ತಿನ್ನಬೇಡ	ತ ಿ ನ ್ ನ ಬ ೇ ಡ |
ತಿನ್ನಲು	ತ ಿ ನ ್ ನ ಲ ು |
ತಿನ್ನಿ	ತ ಿ ನ ್ ನ ಿ |
ತಿನ್ನು	ತ ಿ ನ ್ ನ ು |
ತಿನ್ನುವುದರಿಂದ	ತ ಿ ನ ್ ನ ು ವ ು ದ ರ ಿ ಂ ದ |
ತಿನ್ನೋದು	ತ ಿ ನ ್ ನ ೋ ದ ು |
ತಿಪಟೂರು	ತ ಿ ಪ ಟ ೂ ರ ು |
ತಿರುಗಬೇಡ	ತ ಿ ರ ು ಗ ಬ ೇ ಡ |
ತಿರುಗಿ	ತ ಿ ರ ು ಗ ಿ |
ತಿರುಗು	ತ ಿ ರ ು ಗ ು |
ತಿರುಚಿ	ತ ಿ ರ ು ಚ ಿ |
ತಿರುನೇಲ್	ತ ಿ ರ ು ನ ೇ ಲ ್ |
ತಿರುಮಕೂಡಲ	ತ ಿ ರ ು ಮ ಕ ೂ ಡ ಲ |
ತಿಳಿ	ತ ಿ ಳ ಿ |
ತಿಳಿದಿದ್ದೇ	ತ ಿ ಳ ಿ ದ ಿ ದ ್ ದ ೇ |
ತಿಳಿದುಕೊಂಡಿದ್ದರೆ	ತ ಿ ಳ ಿ ದ ು ಕ ೊ ಂ ಡ ಿ ದ ್ ದ ರ ೆ |
ತಿಳಿಯದೆ	ತ ಿ ಳ ಿ ಯ ದ ೆ |
ತಿಳಿಸಲು	ತ ಿ ಳ ಿ ಸ ಲ ು |
ತಿಳಿಸು	ತ ಿ ಳ ಿ ಸ ು |
ತೀರ	ತ ೀ ರ |
ತೀರ್ಥಹಳ್ಳಿ	ತ ೀ ರ ್ ಥ ಹ ಳ ್ ಳ ಿ |
ತೀರ್ಪು	ತ ೀ ರ ್ ಪ ು |
ತೀರ್ಮಾನ	ತ ೀ ರ ್ ಮ ಾ ನ |
ತೀವ್ರ	ತ ೀ ವ ್ ರ |
ತುಂಡು	ತ ು ಂ ಡ ು |
ತುಂಬ	ತ ು ಂ ಬ |
ತುಂಬಿ	ತ ು ಂ ಬ ಿ |
ತುಂಬು	ತ ು ಂ ಬ ು |
ತುಟಿ	ತ ು ಟ ಿ |
ತುಪ್ಪ	ತ ು ಪ ್ ಪ |
ತುಮಕೂರು	ತ ು ಮ ಕ ೂ ರ ು |
ತುಮಕೂರ್	ತ ು ಮ ಕ ೂ ರ ್ |
ತುಯೆನ್	ತ ು ಯ ೆ ನ ್ |
ತುರಾ	ತ ು ರ ಾ |
ತುರುವೇಕೆರೆ	ತ ು ರ ು ವ ೇ ಕ ೆ ರ ೆ |
ತುರ್ತಾದ	ತ ು ರ ್ ತ ಾ ದ |
ತುಲಸಿ	ತ ು ಲ ಸ ಿ |
ತುಲಾ	ತ ು ಲ ಾ |
ತುಲ್ಲಾ	ತ ು ಲ ್ ಲ ಾ |
ತುಸು	ತ ು ಸ ು |
ತೂಕ	ತ ೂ ಕ |
ತೂಗು	ತ ೂ ಗ ು |
ತೃತೀಯ	ತ ೃ ತ ೀ ಯ |
ತೃಪ್ತಿ	ತ ೃ ಪ ್ ತ ಿ |
ತೆಂಗಿನಕಾಯಿ	ತ ೆ ಂ ಗ ಿ ನ ಕ ಾ ಯ ಿ |
ತೆಂಡುಲ್ಕರ್	ತ ೆ ಂ ಡ ು ಲ ್ ಕ ರ ್ |
ತೆಗೆ	ತ ೆ ಗ ೆ |
ತೆಗೆದುಕೊಂಡು	ತ ೆ ಗ ೆ ದ ು ಕ ೊ ಂ ಡ ು |
ತೆಗೆಯಲು	ತ ೆ ಗ ೆ ಯ ಲ ು |
ತೆಗೆಯುತ್ತಾರೆ	ತ ೆ ಗ ೆ ಯ ು ತ ್ ತ ಾ ರ ೆ |
ತೆನೆ	ತ ೆ ನ ೆ |
ತೆರಳು	ತ ೆ ರ ಳ ು |
ತೆರಿಗೆ	ತ ೆ ರ ಿ ಗ ೆ |
ತೆರೆ	ತ ೆ ರ ೆ |
ತೆಲುಗು	ತ ೆ ಲ ು ಗ ು |
ತೆಲ್ಗೀ	ತ ೆ ಲ ್ ಗ ೀ |
ತೆಳು	ತ ೆ ಳ ು |
ತೇಜಸ್ವಿನಿ	ತ ೇ ಜ ಸ ್ ವ ಿ ನ ಿ |
ತೇಜ್	ತ ೇ ಜ ್ |
ತೇರು	ತ ೇ ರ ು |
ತೊಂದರೆ	ತ ೊ ಂ ದ ರ ೆ |
ತೊಂಬತ್ತನಾಲ್ಕು	ತ ೊ ಂ ಬ ತ ್ ತ ನ ಾ ಲ ್ ಕ ು |
ತೊಂಬತ್ತಮೂರು	ತ ೊ ಂ ಬ ತ ್ ತ ಮ ೂ ರ ು |
ತೊಂಬತ್ತಾರು	ತ ೊ ಂ ಬ ತ ್ ತ ಾ ರ ು |
ತೊಂಬತ್ತು	ತ ೊ ಂ ಬ ತ ್ ತ ು |
ತೊಂಬತ್ತೆಂಟು	ತ ೊ ಂ ಬ ತ ್ ತ ೆ ಂ ಟ ು |
ತೊಂಬತ್ತೆರಡು	ತ ೊ ಂ ಬ ತ ್ ತ ೆ ರ ಡ ು |
ತೊಂಬತ್ತೇಳು	ತ ೊ ಂ ಬ ತ ್ ತ ೇ ಳ ು |
ತೊಂಬತ್ತೈದು	ತ ೊ ಂ ಬ ತ ್ ತ ೈ ದ ು |
ತೊಂಬತ್ತೊಂದು	ತ ೊ ಂ ಬ ತ ್ ತ ೊ ಂ ದ ು |
ತೊಂಬತ್ತೊಂಬತ್ತು	ತ ೊ ಂ ಬ ತ ್ ತ ೊ ಂ ಬ ತ ್ ತ ು |
ತೊಡಗು	ತ ೊ ಡ ಗ ು |
ತೊಡೆ	ತ ೊ ಡ ೆ |
ತೋಟದಿಂದ	ತ ೋ ಟ ದ ಿ ಂ ದ |
ತೋಟವನ್ನು	ತ ೋ ಟ ವ ನ ್ ನ ು |
ತೋರಿಸು	ತ ೋ ರ ಿ ಸ ು |
ತೋಳು	ತ ೋ ಳ ು |
ತ್ಯಾಗ	ತ ್ ಯ ಾ ಗ |
ತ್ಯಾಗದಿಂದ	ತ ್ ಯ ಾ ಗ ದ ಿ ಂ ದ |
ತ್ರಿಚೂರ್	ತ ್ ರ ಿ ಚ ೂ ರ ್ |
